seed,scenario,method,temporal,view,onset_phase,offset_from_nearest_transition,event_index,sequence_index,channel,start,end_exclusive,duration,any_active_hit,fresh_onset_hit,pre_active,fresh_delay_detected,fresh_delay_capped,scoreable_fraction,fully_unavailable,delay_fraction_capped
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,0,0,0,116,128,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,1,0,2,1,13,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,2,1,1,0,12,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,3,1,2,63,75,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,4,2,0,104,116,12,True,True,False,6.0,6,1.0,False,0.5
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,5,2,1,8,20,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,6,3,2,142,154,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,7,3,2,88,100,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,8,4,0,101,113,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,9,4,1,39,51,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,10,5,2,70,82,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,11,5,2,128,140,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,12,6,0,75,87,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,13,6,1,5,17,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,14,7,1,140,152,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,15,7,0,9,21,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,16,8,2,12,24,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,17,8,0,55,67,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,18,9,2,128,140,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,19,9,0,74,86,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,20,10,2,120,132,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,21,10,1,14,26,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,22,11,1,1,13,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,point,clean,steady,,23,11,0,74,86,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,ewma,clean,steady,,0,0,0,116,128,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,ewma,clean,steady,,1,0,2,1,13,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,ewma,clean,steady,,2,1,1,0,12,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,ewma,clean,steady,,3,1,2,63,75,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,ewma,clean,steady,,4,2,0,104,116,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,ewma,clean,steady,,5,2,1,8,20,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,ewma,clean,steady,,6,3,2,142,154,12,True,True,False,7.0,7,1.0,False,0.5833333333333334
42,steady_d12_n2_m1,regime_marginal,ewma,clean,steady,,7,3,2,88,100,12,True,True,False,4.0,4,1.0,False,0.3333333333333333
42,steady_d12_n2_m1,regime_marginal,ewma,clean,steady,,8,4,0,101,113,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,ewma,clean,steady,,9,4,1,39,51,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,ewma,clean,steady,,10,5,2,70,82,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,ewma,clean,steady,,11,5,2,128,140,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,ewma,clean,steady,,12,6,0,75,87,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,ewma,clean,steady,,13,6,1,5,17,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,ewma,clean,steady,,14,7,1,140,152,12,False,False,False,,12,1.0,False,1.0
42,steady_d12_n2_m1,regime_marginal,ewma,clean,steady,,15,7,0,9,21,12,False,False,False,,12,1.0,False,1.0
